"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"Israel",400,24.6,20770,20.8,"Jerusalem",65166,108.15,0.8,3.09,7.7,3.95e+11,104.9,63.4,3,82.8,3,"Hebrew",24.4,4.62,9053300,64,8374393,31.046051,34.851612,"Middle East & North Africa"
"Italy",206,43.2,301340,7.3,"Rome",320411,110.62,0.6,1.29,31.8,2e+12,101.9,61.9,2.6,82.9,2,"Italian",22.8,3.98,60297396,49.6,42651966,41.87194,12.56738,"Europe & Central Asia"
"Jamaica",273,41,10991,16.1,"Kingston, Jamaica",8225,162.47,3.9,1.98,30.9,16458071068,91,27.1,12.4,74.4,80,"Jamaican English",23.7,1.31,2948279,66,1650594,18.109581,-77.297508,"Latin America & Caribbean"
"Japan",347,12.3,377944,7.4,"Tokyo",1135886,105.48,0.5,1.42,68.5,5.08e+12,98.8,63.2,1.8,84.2,5,"None",13.1,2.41,126226568,61.7,115782416,36.204824,138.252924,"East Asia & Pacific"
"Jordan",115,12,89342,21.98,"Amman",25108,125.6,0.8,2.76,1.1,43743661972,81.5,34.4,13.9,74.4,46,"Arabic",25.1,2.32,10101694,39.3,9213048,30.585164,36.238414,"Middle East & North Africa"
"Kazakhstan",7,80.4,2724900,21.77,"Astana",247207,182.75,5.2,2.84,1.2,1.8e+11,104.4,61.7,8.8,73.2,10,"Russian",38.8,3.25,18513930,68.8,10652915,48.019573,66.923684,"Europe & Central Asia"
"Kenya",94,48.5,580367,28.75,"Nairobi",17910,180.51,4.7,3.49,7.8,95503088538,103.2,11.5,30.6,66.3,342,"Swahili",33.4,0.16,52573973,74.7,14461523,-0.023559,37.906193,"Sub-Saharan Africa"
"Kuwait",240,8.4,17818,13.94,"Kuwait City",98734,126.6,1.1,2.08,0.4,1.35e+11,92.4,54.4,6.7,75.4,12,"Modern Standard Arabic",14.4,2.58,4207083,73.5,4207083,29.31166,47.481766,"Middle East & North Africa"
"Kyrgyzstan",34,55,199951,27.1,"Bishkek",9787,155.68,1.1,3.3,3.3,8454619608,107.6,41.3,16.9,71.4,60,"Russian",48.2,1.88,6456900,59.8,2362644,41.20438,74.766098,"Europe & Central Asia"
"Laos",32,10.3,236800,23.55,"Vientiane",17763,135.87,3.3,2.67,82.1,18173839128,102.4,15,37.6,67.6,185,"Lao",45.4,0.37,7169455,78.5,2555552,19.85627,102.495496,"East Asia & Pacific"
"Latvia",30,31.1,64589,10,"Riga",7004,116.86,2.8,1.6,54,34117202555,99.4,88.1,3.3,74.7,19,"Latvian",41.6,3.19,1912789,61.4,1304943,56.879635,24.603189,"Europe & Central Asia"
"Lebanon",667,64.3,10400,17.55,"Beirut",24796,130.02,3,2.09,13.4,53367042272,95.1,26.3,6.4,78.9,29,"Arabic",32.1,2.1,6855713,47,6084994,33.854721,35.862285,"Middle East & North Africa"
"Lesotho",71,77.6,30355,26.81,"Maseru",2512,155.86,5.2,3.14,1.6,2460072444,120.9,10.2,65.7,53.7,544,"English",16.9,0.07,2125268,67.9,607508,-29.609988,28.233608,"Sub-Saharan Africa"
"Liberia",53,28,111369,33.04,"Monrovia",1386,223.13,23.6,4.32,43.1,3070518100,85.1,11.9,53.5,63.7,661,"English",19.6,0.04,4937374,76.3,2548426,6.428055,-9.429499,"Sub-Saharan Africa"
"Lithuania",43,47.2,65300,10,"Vilnius",12963,118.38,2.3,1.63,34.8,54219315600,103.9,72.4,3.3,75.7,8,"Lithuanian",32.1,6.35,2786844,61.6,1891013,55.169438,23.881275,"Europe & Central Asia"
"Luxembourg",242,53.7,2586,10.3,"Luxembourg City",8988,115.09,1.7,1.37,35.7,71104919108,102.3,19.2,1.9,82.1,5,"Luxembourgish",10.6,3.01,645397,59.3,565488,49.815273,6.129583,"Europe & Central Asia"
"Madagascar",48,71.2,587041,32.66,"Antananarivo",3905,184.33,5.6,4.08,21.4,14083906357,142.5,5.4,38.2,66.7,335,"French",21.7,0.18,26969307,86.1,10210849,-18.766947,46.869107,"Sub-Saharan Africa"
"Malawi",203,61.4,118484,34.12,"Lilongwe",1298,418.34,9.4,4.21,33.2,7666704427,142.5,0.8,35.3,63.8,349,"English",11,0.04,18628747,76.7,3199301,-13.254308,34.301525,"Sub-Saharan Africa"
"Malaysia",99,26.3,329847,16.75,"Kuala Lumpur",248289,121.46,0.7,2,67.6,3.65e+11,105.3,45.1,6.7,76,29,"Malaysian language",36.7,1.51,32447385,64.3,24475766,4.210484,101.975766,"East Asia & Pacific"
"Maldives",1802,26.3,298,14.2,"Mal�",1445,99.7,0.2,1.87,3.3,5729248472,97.1,31.2,7.4,78.6,53,"Divehi",16.4,4.56,530953,69.8,213645,3.202778,73.22068,"South Asia"
"Mali",17,33.8,1240192,41.54,"Bamako",3179,108.73,-1.7,5.88,3.8,17510141171,75.6,4.5,62,58.9,562,"French",46.3,0.13,19658031,70.8,8479688,17.570692,-3.996166,"Sub-Saharan Africa"
"Malta",1380,32.4,316,9.2,"Valletta",1342,113.45,1.6,1.23,1.1,14786156563,105,54.3,6.1,82.3,6,"Maltese",37.1,2.86,502653,56.5,475902,35.937496,14.375416,"Middle East & North Africa"
"Mauritania",5,38.5,1030700,33.69,"Nouakchott",2739,135.02,2.3,4.56,0.2,7593752450,99.9,5,51.5,64.7,766,"Arabic",48.2,0.19,4525696,45.9,2466821,21.00789,-10.940835,"Sub-Saharan Africa"
"Mauritius",626,42.4,2040,10.2,"Port Louis",4349,129.91,0.4,1.41,19,14180444557,101.1,40.6,13.6,74.4,61,"French",50.7,2.53,1265711,58.3,515980,-20.348404,57.552152,"Sub-Saharan Africa"
"Mexico",66,54.6,1964375,17.6,"Mexico City",486406,141.54,3.6,2.13,33.9,1.26e+12,105.8,40.2,11,75,33,"None",41.4,2.38,126014024,60.7,102626859,23.634501,-102.552784,"Latin America & Caribbean"
"Moldova",123,74.2,33851,10.1,"Chi����",5115,166.2,4.8,1.26,12.6,11955435457,90.6,39.8,13.6,71.8,19,"Romanian",46.2,3.21,2657637,43.1,1135502,47.411631,28.369885,"Europe & Central Asia"
"Mongolia",2,71.5,1564116,24.13,"Ulaanbaatar",25368,195.76,7.3,2.9,8,13852850259,104,65.6,14,69.7,45,"Mongolian",39.3,2.86,3225167,59.7,2210626,46.862496,103.846656,"East Asia & Pacific"
"Montenegro",47,19,13812,11.73,"Podgorica",2017,116.32,2.6,1.75,61.5,5494736901,100,56.1,2.3,76.8,6,"Montenegrin language",31.8,2.76,622137,54.4,417765,42.708678,19.37439,"Europe & Central Asia"
"Morocco",83,68.5,446550,18.94,"Rabat",61276,111.07,0.2,2.42,12.6,1.19e+11,113.9,35.9,19.2,76.5,70,"Arabic",53.1,0.73,36910560,45.3,22975026,31.791702,-7.09262,"Middle East & North Africa"
"Mozambique",40,63.5,799380,37.52,"Maputo",7943,182.31,2.8,4.85,48,14934159926,112.6,7.3,54,60.2,289,"Portuguese",6.8,0.08,30366036,78.1,11092106,-18.665695,35.529562,"Sub-Saharan Africa"
"Myanmar",83,19.5,676578,17.55,"Naypyidaw",25280,168.18,8.8,2.15,43.6,76085852617,112.3,18.8,36.8,66.9,250,"Burmese",73.9,0.68,54045420,61.7,16674093,21.916221,95.955974,"East Asia & Pacific"
"Namibia",3,47.1,824292,28.64,"Windhoek",4228,157.97,3.7,3.4,8.3,12366527719,124.2,22.9,29,63.4,195,"English",8.3,0.42,2494530,59.5,1273258,-22.95764,18.49041,"Sub-Saharan Africa"
"Nepal",203,28.7,147181,19.89,"Kathmandu",9105,188.73,5.6,1.92,25.4,30641380604,142.1,12.4,26.7,70.5,186,"Nepali",60.4,0.75,28608710,83.8,5765513,28.394857,84.124008,"South Asia"
"Netherlands",508,53.3,41543,9.7,"Amsterdam",170780,115.91,2.6,1.59,11.2,9.09e+11,104.2,85,3.3,81.8,5,"Dutch",12.3,3.61,17332850,63.6,15924729,52.132633,5.291266,"Europe & Central Asia"
"New Zealand",18,40.5,268838,11.98,"Wellington",34382,114.24,1.6,1.71,38.6,2.07e+11,100,82,4.7,81.9,9,"English",12.6,3.59,4841000,69.9,4258860,-40.900557,174.885971,"East Asia & Pacific"
"Nicaragua",55,42.1,130370,20.64,"Managua",5592,162.74,5.4,2.4,25.9,12520915291,120.6,17.4,15.7,74.3,98,"Spanish",36,0.98,6545502,66.4,3846137,12.865416,-85.207229,"Latin America & Caribbean"
"Niger",19,36.1,1267000,46.08,"Niamey",2017,109.32,-2.5,6.91,0.9,12928145120,74.7,4.4,48,62,509,"French",52.3,0.04,23310715,72,3850231,17.607789,8.081666,"Sub-Saharan Africa"
"Nigeria",226,77.7,923768,37.91,"Abuja",120369,267.51,11.4,5.39,7.2,4.48e+11,84.7,10.2,75.7,54.3,917,"English",72.2,0.38,200963599,52.9,102806948,9.081999,8.675277,"Sub-Saharan Africa"
"Norway",15,2.7,323802,10.4,"Oslo",41023,120.27,2.2,1.56,33.2,4.03e+11,100.3,82,2.1,82.8,2,"Norwegian",14.3,2.92,5347896,63.8,4418218,60.472024,8.468946,"Europe & Central Asia"
"Oman",16,4.6,309500,19.19,"Muscat",63457,113.53,0.1,2.89,0,76983094928,103.4,38,9.8,77.6,19,"Arabic",6.4,2,5266535,72.4,4250777,21.4735329,55.975413,"Middle East & North Africa"
"Pakistan",287,47.8,796095,28.25,"Islamabad",201150,182.32,10.6,3.51,1.9,3.04e+11,94.3,9,57.2,67.1,140,"Urdu",66.5,0.98,216565318,52.6,79927762,30.375321,69.345116,"South Asia"
"Panama",58,30.4,75420,18.98,"Panama City",10715,122.07,-0.4,2.46,61.9,66800800000,94.4,47.8,13.1,78.3,52,"Spanish",30.5,1.57,4246439,66.6,2890084,8.537981,-80.782127,"Latin America & Caribbean"
"Papua New Guinea",20,2.6,462840,27.07,"Port Moresby",7536,155.99,3.6,3.56,74.1,24969611435,108.5,1.8,38,64.3,145,"Tok Pisin",5.8,0.07,8776109,47.2,1162834,-6.314993,143.95555,"East Asia & Pacific"
"Paraguay",18,55.1,406752,20.57,"Asunci��",7407,143.82,2.8,2.43,37.7,38145288940,104.4,34.6,17.2,74.1,129,"Spanish",36.5,1.35,7044636,72.1,4359150,-23.442503,-58.443832,"Latin America & Caribbean"
"Peru",26,18.5,1285216,17.95,"Lima",57414,129.78,2.1,2.25,57.7,2.27e+11,106.9,70.7,11.1,76.5,88,"Spanish",30.9,1.27,32510453,77.6,25390339,-9.189967,-75.015152,"Latin America & Caribbean"
"Philippines",368,41.7,300000,20.55,"Manila",122287,129.61,2.5,2.58,27.8,3.77e+11,107.5,35.5,22.5,71.1,121,"English",53.5,0.6,108116615,59.6,50975903,12.879721,121.774017,"East Asia & Pacific"
"Poland",124,46.9,312685,10.2,"Warsaw",299037,114.11,2.2,1.46,30.9,5.92e+11,100,67.8,3.8,77.6,2,"Polish",23.2,2.38,37970874,56.7,22796574,51.919438,19.145136,"Europe & Central Asia"
"Portugal",111,39.5,92212,8.5,"Lisbon",48742,110.62,0.3,1.38,34.6,2.38e+11,106.2,63.9,3.1,81.3,8,"Portuguese",27.7,5.12,10269417,58.8,6753579,39.399872,-8.224454,"Europe & Central Asia"
"Qatar",248,5.8,11586,9.54,"Doha",103259,115.38,-0.7,1.87,0,1.83e+11,103.8,17.9,5.8,80.1,9,"Arabic",6.2,2.49,2832067,86.8,2809071,25.354826,51.183884,"Middle East & North Africa"
"Romania",84,58.8,238391,9.6,"Bucharest",69259,123.78,3.8,1.71,30.1,2.5e+11,85.2,49.4,6.1,75.4,19,"Romanian",21.3,2.98,19356544,54.7,10468793,45.943161,24.96676,"Europe & Central Asia"
"Russia",9,13.3,17098240,11.5,"Moscow",1732027,180.75,4.5,1.57,49.8,1.7e+12,102.6,81.9,6.1,72.7,17,"Russian",36.4,4.01,144373535,61.8,107683889,61.52401,105.318756,"Europe & Central Asia"
"Rwanda",525,73.4,26338,31.7,"Kigali",1115,151.09,3.4,4.04,19.7,10122472590,133,6.7,27,68.7,248,"Swahili",26,0.13,12626950,83.7,2186104,-1.940278,29.873888,"Sub-Saharan Africa"
"Saint Lucia",301,17.4,616,12,"Castries",414,110.13,1.9,1.44,33.2,2122450630,102.6,14.1,14.9,76.1,117,"English",48.4,0.64,182790,67.1,34280,13.909444,-60.978893,"Latin America & Caribbean"
"Saint Vincent and the Grenadines",284,25.6,389,14.24,"Kingstown",220,109.67,2.3,1.89,69.2,825385185,113.4,23.7,14.8,72.4,68,"English",21.4,0.66,100455,65.9,58185,12.984305,-61.287228,"Latin America & Caribbean"
"Samoa",70,12.4,2831,24.38,"Apia",246,117.56,1,3.88,60.4,850655017,110.5,7.6,13.6,73.2,43,"Samoan",11.5,0.34,202506,43.7,35588,-13.759029,-172.104629,"East Asia & Pacific"
