"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"United Arab Emirates",118,5.5,83600,10.33,"Abu Dhabi",206324,114.52,-1.9,1.41,4.6,4.21e+11,108.4,36.8,6.5,77.8,3,"Arabic",17.8,2.53,9770529,82.1,8479744,23.424076,53.847818,"Middle East & North Africa"
"United Kingdom",281,71.7,243610,11,"London",379025,119.62,1.7,1.68,13.1,2.83e+12,101.2,60,3.6,81.3,7,"English",14.8,2.81,66834405,62.8,55908316,55.378051,-3.435973,"Europe & Central Asia"
"United States",36,44.4,9833517,11.6,"Washington, D.C.",5006302,117.24,7.5,1.73,33.9,2.14e+13,101.8,88.2,5.6,78.5,19,"None",11.1,2.61,328239523,62,270663028,37.09024,-95.712891,"North America"
"Uruguay",20,82.6,176215,13.86,"Montevideo",6766,202.92,7.9,1.97,10.7,56045912952,108.5,63.1,6.4,77.8,17,"Spanish",16.2,5.05,3461734,64,3303394,-32.522779,-55.765835,"Latin America & Caribbean"
"Vanuatu",25,15.3,12189,29.6,"Port Vila",147,117.13,2.8,3.78,36.1,917058851,109.3,4.7,22.3,70.3,72,"French",8.9,0.17,299882,69.9,76152,-15.376706,166.959158,"East Asia & Pacific"
"Venezuela",32,24.5,912050,17.88,"Caracas",164175,2740.27,254.9,2.27,52.7,4.82e+11,97.2,79.3,21.4,72.1,125,"Spanish",45.8,1.92,28515829,59.7,25162368,6.42375,-66.58973,"Latin America & Caribbean"
"Vietnam",314,39.3,331210,16.75,"Hanoi",192668,163.52,2.8,2.05,48.1,2.62e+11,110.6,28.5,16.5,75.3,43,"Vietnamese",43.5,0.82,96462106,77.4,35332140,14.058324,108.277199,"East Asia & Pacific"
"Yemen",56,44.6,527968,30.45,"Sanaa",10609,157.58,8.1,3.79,1,26914402224,93.6,10.2,42.9,66.1,164,"Arabic",81,0.31,29161922,38,10869523,15.552727,48.516388,"Middle East & North Africa"
"Zambia",25,32.1,752618,36.19,"Lusaka",5141,212.31,9.2,4.63,65.2,23064722446,98.7,4.1,40.4,63.5,213,"English",27.5,1.19,17861030,74.6,7871713,-13.133897,27.849332,"Sub-Saharan Africa"
"Zimbabwe",38,41.9,390757,30.68,"Harare",10983,105.51,0.9,3.62,35.5,21440758800,109.9,10,33.9,61.2,458,"Shona",25.8,0.21,14645468,83.1,4717305,-19.015438,29.154857,"Sub-Saharan Africa"
